video	description
P03_123	In the video P03_123: action: open cupboard was detected from 40 second(s) to 42 second(s). action: lift bowl was detected from 48 second(s) to 50 second(s). action: close oven was detected from 1 minute(s) and 26 second(s) to 1 minute(s) and 27 second(s). action: remove hand was detected from 1 minute(s) and 56 second(s) to 1 minute(s) and 58 second(s). action: scoop spreads was detected from 2 minute(s) and 20 second(s) to 2 minute(s) and 25 second(s). action: put ladle was detected from 2 minute(s) and 43 second(s) to 2 minute(s) and 45 second(s). action: wash clip was detected from 3 minute(s) and 37 second(s) to 3 minute(s) and 40 second(s). action: remove jar, hand was detected from 3 minute(s) and 50 second(s) to 3 minute(s) and 56 second(s). action: put glove was detected from 4 minute(s) and 8 second(s) to 4 minute(s) and 10 second(s). action: move jar was detected from 4 minute(s) and 12 second(s) to 4 minute(s) and 13 second(s). action: remove hand was detected from 4 minute(s) and 28 second(s) to 4 minute(s) and 30 second(s). action: remove hand was detected from 4 minute(s) and 40 second(s) to 4 minute(s) and 42 second(s). action: move lid was detected from 4 minute(s) and 44 second(s) to 4 minute(s) and 47 second(s).
P03_26	In the video P03_26: action: put plate was detected from 0 second(s) to 5 second(s). action: open, insert, insert fridge was detected from 6 second(s) to 9 second(s).
P04_01	In the video P04_01: action: take bag was detected from 4 minute(s) and 33 second(s) to 4 minute(s) and 36 second(s). action: take tofu was detected from 5 minute(s) and 11 second(s) to 5 minute(s) and 13 second(s). action: put towel:kitchen was detected from 6 minute(s) and 7 second(s) to 6 minute(s) and 9 second(s). action: squeeze bag was detected from 8 minute(s) and 51 second(s) to 9 minute(s) and 3 second(s). action: take, put pan was detected from 9 minute(s) and 8 second(s) to 9 minute(s) and 10 second(s). action: pour oil was detected from 9 minute(s) and 10 second(s) to 9 minute(s) and 12 second(s). action: squeeze, take bag was detected from 10 minute(s) and 27 second(s) to 11 minute(s) and 0 second(s). action: wash, dry hand was detected from 11 minute(s) and 18 second(s) to 11 minute(s) and 31 second(s). action: take bowl was detected from 11 minute(s) and 38 second(s) to 11 minute(s) and 39 second(s). action: break, insert egg was detected from 11 minute(s) and 40 second(s) to 13 minute(s) and 19 second(s). action: wash, dry hand was detected from 13 minute(s) and 23 second(s) to 13 minute(s) and 40 second(s). action: scoop sugar was detected from 14 minute(s) and 6 second(s) to 14 minute(s) and 25 second(s). action: pour sauce was detected from 14 minute(s) and 41 second(s) to 14 minute(s) and 45 second(s). action: take, pour oil, salt was detected from 14 minute(s) and 49 second(s) to 15 minute(s) and 22 second(s). action: turn-on hob was detected from 15 minute(s) and 39 second(s) to 15 minute(s) and 43 second(s). action: mix egg was detected from 15 minute(s) and 48 second(s) to 16 minute(s) and 7 second(s). action: pour oil was detected from 16 minute(s) and 11 second(s) to 16 minute(s) and 19 second(s). action: put, pull, pour towel:kitchen was detected from 16 minute(s) and 20 second(s) to 16 minute(s) and 29 second(s). action: form burger was detected from 16 minute(s) and 36 second(s) to 16 minute(s) and 46 second(s). action: take tuna, burger was detected from 16 minute(s) and 46 second(s) to 17 minute(s) and 23 second(s). action: insert pan was detected from 17 minute(s) and 29 second(s) to 17 minute(s) and 32 second(s). action: form burger was detected from 17 minute(s) and 38 second(s) to 18 minute(s) and 2 second(s). action: wash hand was detected from 18 minute(s) and 26 second(s) to 18 minute(s) and 29 second(s). action: wash, dry, put knife was detected from 18 minute(s) and 37 second(s) to 18 minute(s) and 45 second(s). action: check, insert pan was detected from 18 minute(s) and 45 second(s) to 18 minute(s) and 57 second(s). action: put oil was detected from 18 minute(s) and 58 second(s) to 18 minute(s) and 59 second(s).
P04_106	In the video P04_106: action: remove tray was detected from 2 minute(s) and 39 second(s) to 2 minute(s) and 41 second(s). action: put glove was detected from 4 minute(s) and 3 second(s) to 4 minute(s) and 5 second(s). action: close oven was detected from 4 minute(s) and 10 second(s) to 4 minute(s) and 11 second(s). action: put glove was detected from 4 minute(s) and 11 second(s) to 4 minute(s) and 12 second(s).
P04_111	In the video P04_111: action: flip tofu was detected from 59 second(s) to 1 minute(s) and 3 second(s). action: put pork was detected from 2 minute(s) and 11 second(s) to 2 minute(s) and 16 second(s).
P04_116	In the video P04_116: action: take bowl was detected from 0 second(s) to 1 second(s). action: put bread was detected from 4 minute(s) and 1 second(s) to 4 minute(s) and 3 second(s). action: lift egg was detected from 4 minute(s) and 19 second(s) to 4 minute(s) and 26 second(s). action: lift, scrape pan was detected from 5 minute(s) and 16 second(s) to 5 minute(s) and 21 second(s). action: hold pan was detected from 5 minute(s) and 34 second(s) to 5 minute(s) and 35 second(s). action: take butter was detected from 6 minute(s) and 5 second(s) to 6 minute(s) and 7 second(s). action: open cupboard was detected from 6 minute(s) and 15 second(s) to 6 minute(s) and 16 second(s). action: take bowl was detected from 6 minute(s) and 20 second(s) to 6 minute(s) and 21 second(s). action: open drawer was detected from 6 minute(s) and 46 second(s) to 6 minute(s) and 49 second(s). action: take spatula was detected from 7 minute(s) and 1 second(s) to 7 minute(s) and 2 second(s). action: mix egg was detected from 7 minute(s) and 3 second(s) to 7 minute(s) and 13 second(s). action: take knife was detected from 8 minute(s) and 22 second(s) to 8 minute(s) and 25 second(s). action: cut, feel, cut, put bread was detected from 8 minute(s) and 27 second(s) to 9 minute(s) and 0 second(s). action: mix egg was detected from 9 minute(s) and 22 second(s) to 9 minute(s) and 30 second(s).
P05_02	In the video P05_02: action: set microwave was detected from 4 minute(s) and 9 second(s) to 4 minute(s) and 11 second(s). action: pour water was detected from 4 minute(s) and 17 second(s) to 4 minute(s) and 20 second(s). action: take pot was detected from 5 minute(s) and 17 second(s) to 5 minute(s) and 19 second(s). action: dry hand was detected from 5 minute(s) and 29 second(s) to 5 minute(s) and 31 second(s).
P05_06	In the video P05_06: action: throw tea was detected from 4 minute(s) and 49 second(s) to 4 minute(s) and 51 second(s).
P05_08	In the video P05_08: action: apply oil was detected from 3 minute(s) and 4 second(s) to 3 minute(s) and 5 second(s). action: put spatula was detected from 5 minute(s) and 31 second(s) to 5 minute(s) and 32 second(s). action: pour meat was detected from 5 minute(s) and 38 second(s) to 5 minute(s) and 41 second(s). action: pour salad was detected from 7 minute(s) and 11 second(s) to 7 minute(s) and 31 second(s). action: put spatula was detected from 7 minute(s) and 31 second(s) to 7 minute(s) and 33 second(s). action: take spoon was detected from 8 minute(s) and 31 second(s) to 8 minute(s) and 33 second(s). action: mix pasta was detected from 8 minute(s) and 33 second(s) to 9 minute(s) and 2 second(s). action: mix pasta was detected from 12 minute(s) and 59 second(s) to 13 minute(s) and 8 second(s). action: pour sauce was detected from 13 minute(s) and 35 second(s) to 14 minute(s) and 5 second(s). action: pour bottle was detected from 16 minute(s) and 18 second(s) to 16 minute(s) and 19 second(s). action: wash, put spoon was detected from 16 minute(s) and 37 second(s) to 16 minute(s) and 46 second(s). action: turn-off, mix salad was detected from 17 minute(s) and 10 second(s) to 17 minute(s) and 42 second(s). action: take pan was detected from 17 minute(s) and 42 second(s) to 17 minute(s) and 43 second(s). action: wash pan, spatula was detected from 19 minute(s) and 4 second(s) to 20 minute(s) and 1 second(s). action: close, take container was detected from 20 minute(s) and 6 second(s) to 20 minute(s) and 12 second(s). action: wash cloth, top, hob, cloth was detected from 20 minute(s) and 17 second(s) to 20 minute(s) and 57 second(s). action: pour, close container was detected from 21 minute(s) and 8 second(s) to 21 minute(s) and 16 second(s).
P05_09	In the video P05_09: action: take package was detected from 3 minute(s) and 8 second(s) to 3 minute(s) and 12 second(s).
