Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Event 13	Start Timestamp Event 13	End Timestamp Event 13	Location Event 13	Event 14	Start Timestamp Event 14	End Timestamp Event 14	Location Event 14	Additional comments
TVSum	3	eQu1rNs0an0	A woman and a cyclist are interviewed, while also showing breasts of the cyclist as he rides his bike down the street.	A series of scenes of people on bicycles follow one another, some of them doing tricks.	00:00:05	00:00:19	In the streets	A woman speaks to the camera	00:00:24	00:00:45	In front of a colored wall	A man rides a bicycle trying to lift the rear wheel off the ground	00:00:45	00:01:15	In the streets	The cyclist is interviewed	00:01:01	00:01:24	In the streets	The woman from the previous scene speaks to the camera again	00:01:27	00:01:37	In front of a colored wall	The cyclist in the previous scene is riding his bike on the street	00:01:38	00:01:53	In the streets	The woman from the previous scene speaks to the camera again	00:01:58	00:02:08	In front of a colored wall	The cyclist in the previous scene is riding his bike on the street	00:02:00	00:02:21	In the streets	The woman from the previous scene speaks to the camera again	00:02:21	00:02:38	In front of a colored wall																									
TVSum	3	byxOvuiIJV0	People start dancing in the street. A crowd of people surrounds them to watch the choreography.	Children playing cricket	00:00:05	00:00:14	In a field	People dance a choreography on the street, surrounded by a crowd.	00:00:22	00:02:20	In a street																																																					
TVSum	3	Bhxk-O1Y7Ho	A woman talks to the camera and shows her dog. The woman also goes out for a walk in the city, continuing to talk to the camera	A woman speaks to the camera while putting an apron around her neck	00:00:01	00:01:09	In a kitchen	Some bottles of various products are shown	00:01:09	00:01:28	On a countur	Woman pets a dog on kitchen counter, next to sink	00:01:52	00:02:56	On the kitchen countur	The woman walks in an underground parking lot while talking to the camera	00:02:56	00:03:22	In a parking lot	The woman walks around the city while talking to the camera	00:03:32	00:04:22	In the streets	Woman pets dog on kitchen counter, next to sink, while speaking to the camera	00:04:22	00:05:40	In the kitchen	The woman plays with the dog	00:05:57	00:06:34	On the floor	The woman speaks to the camera	00:06:42	00:07:04	In the house	The dog is sitting on the floor	00:07:04	00:07:30	On the floor, next to the couch																									
TVSum	3	b626MiF1ew4	Some boys do parkour and explain some of the basic moves, such as somersaults and jumps, to other beginners.	Some boys are doing sit-ups	00:00:01	00:00:20	Outside, next to a wall	A man is interviewed	00:00:20	00:00:27	Outside	Some boys do parkour	00:00:36	00:01:30	In a square with a staircase	A group of people doing mobility and warm-up exercises	00:01:30	00:02:11	In a garden	A man explains how to do a somersault, then gives an example and has one of the other people try it	00:02:11	00:02:40	In a garden	A boy talks to other people around him	00:02:41	00:03:01	In a parking lot	The boys do parkour-style jumps from one wall to another in the same square as before	00:03:01	00:03:42	In a little square																																	
TVSum	3	AwmHb44_ouw	A man is interviewed. The process of checking the inner tube of a car wheel is also shown, including removing and refitting the tire.	A man speaks to the camera	00:00:01	00:00:40	Outside, next to a wall	The left front of a red car is framed	00:00:41	00:00:55	Outside	The tire of another blue car is framed	00:00:58	00:01:11	Outside on the sidewalk	The cameraman frames the jack left next to the blue car	00:01:13	00:01:29	outside	The cameraman checks a dismounted wheel left on the ground	00:01:30	00:02:21	outside on the sidewalk	The cameraman uses screwdrivers to remove the tire from the rim.	00:02:22	00:03:22	Outside	The cameraman checks the inner tube of the tire he just removed.	00:03:22	00:04:09	outside on the sidewalk	The cameraman remounts the tire on the rim	00:04:10	00:04:40	outside	The cameraman sprays what looks like soap on the newly reassembled wheel.	00:04:44	00:04:59	outside	The man interviewed at the beginning of the video is interviewed again.	00:05:12	00:05:53	Outside, next to a wall																					
TVSum	3	37rzWOQsNIw	A man sitting on the side of the road tastes some food. Among them are a sandwich, a glass of something and some fish.	A small grocery store is shown, first from the outside and then the inside.	00:00:01	00:00:20	In a grocery store	The scene shows a sandwich with some vegetables and meat inside.	00:00:21	00:00:38	Outside	A man eats a sandwich on a sidewalk, surrounded by pigeons and seagulls	00:00:45	00:01:01	Outside on the sidewalk	The sandwich is again framed in close-up	00:01:02	00:01:22	outside	The man continues to eat the sandwich surrounded by pigeons	00:01:23	00:01:40	Outside on the sidewalk	The man shows a glass with something and eats two spoonfuls of it.	00:01:41	00:02:19	Outside on the sidewalk	The man unwraps a package that appears to contain cooked fish and takes a forkful.	00:02:20	00:02:58	Outside on the sidewalk																																	
TVSum	3	3eYKfiOEJNs	The video shows an interview with a man who grooms dogs. There are some scenes of the man working and some customers are interviewed.	Some people are walking along a sidewalk, stopping to look at the windows of some shops	00:00:01	00:00:17	In the streets	Interview with a man holding a dog	00:00:30	00:00:40	In the streets	Interview with a woman with a dog on a leash	00:00:40	00:00:48	Inside a room	A man combs, washes, dries and cuts the fur of some posed dogs.	00:00:48	00:01:32	In a room with a table	The man who looked after the dogs speaks to the camera.	00:01:42	00:02:12	In a room	While the man is taking care of a dog, a woman comes into the room with a dog on a leash	00:02:13	00:02:19	In the room	The interview with the woman with a dog on a leash continues	00:02:20	00:02:26	Inside a room	The interview with the man with a dog in his arms continues	00:02:26	00:02:40	In the streets	Scenes follow one another of the man grooming the dogs as he works, while other dogs wait in the room on a leash.	00:02:44	00:03:08	In te room																									
																																																																
																																																																
																																																																
