Video Name	Description
v=lk2niPrG3y8.mp4	The video consists of 1 scene total.
v=ArGF2CfOxkY.mp4	The video consists of 5 scenes total. The scene 1 starts at 0 second(s) and ends at 16 second(s). The scene 2 starts at 16 second(s) and ends at 36 second(s). The scene 3 starts at 36 second(s) and ends at 41 second(s). The scene 4 starts at 41 second(s) and ends at 43 second(s). The scene 5 starts at 43 second(s) and ends at 57 second(s).
v=gmFioIDX4X0.mp4	The video consists of 1 scene total.
v=5aMigcn2cU8.mp4	The video consists of 4 scenes total. The scene 1 starts at 0 second(s) and ends at 10 second(s). The scene 2 starts at 10 second(s) and ends at 3 minute(s) and 5 second(s). The scene 3 starts at 3 minute(s) and 5 second(s) and ends at 3 minute(s) and 15 second(s). The scene 4 starts at 3 minute(s) and 15 second(s) and ends at 3 minute(s) and 15 second(s).
v=l866oFamRY4.mp4	The video consists of 1 scene total.
v=-YreL-4QCLg.mp4	The video consists of 12 scenes total. The scene 1 starts at 0 second(s) and ends at 2 second(s). The scene 2 starts at 2 second(s) and ends at 5 second(s). The scene 3 starts at 5 second(s) and ends at 11 second(s). The scene 4 starts at 11 second(s) and ends at 16 second(s). The scene 5 starts at 16 second(s) and ends at 19 second(s). The scene 6 starts at 19 second(s) and ends at 22 second(s). The scene 7 starts at 22 second(s) and ends at 25 second(s). The scene 8 starts at 25 second(s) and ends at 26 second(s). The scene 9 starts at 26 second(s) and ends at 33 second(s). The scene 10 starts at 33 second(s) and ends at 35 second(s). The scene 11 starts at 35 second(s) and ends at 37 second(s). The scene 12 starts at 37 second(s) and ends at 41 second(s).
v=yBjsQN4fzVY.mp4	The video consists of 27 scenes total. The scene 1 starts at 0 second(s) and ends at 19 second(s). The scene 2 starts at 19 second(s) and ends at 33 second(s). The scene 3 starts at 33 second(s) and ends at 38 second(s). The scene 4 starts at 38 second(s) and ends at 49 second(s). The scene 5 starts at 49 second(s) and ends at 52 second(s). The scene 6 starts at 52 second(s) and ends at 55 second(s). The scene 7 starts at 55 second(s) and ends at 57 second(s). The scene 8 starts at 57 second(s) and ends at 59 second(s). The scene 9 starts at 59 second(s) and ends at 1 minute(s) and 10 second(s). The scene 10 starts at 1 minute(s) and 10 second(s) and ends at 1 minute(s) and 16 second(s). The scene 11 starts at 1 minute(s) and 16 second(s) and ends at 1 minute(s) and 20 second(s). The scene 12 starts at 1 minute(s) and 20 second(s) and ends at 1 minute(s) and 21 second(s). The scene 13 starts at 1 minute(s) and 21 second(s) and ends at 1 minute(s) and 29 second(s). The scene 14 starts at 1 minute(s) and 29 second(s) and ends at 1 minute(s) and 31 second(s). The scene 15 starts at 1 minute(s) and 31 second(s) and ends at 1 minute(s) and 33 second(s). The scene 16 starts at 1 minute(s) and 33 second(s) and ends at 1 minute(s) and 39 second(s). The scene 17 starts at 1 minute(s) and 39 second(s) and ends at 1 minute(s) and 41 second(s). The scene 18 starts at 1 minute(s) and 41 second(s) and ends at 1 minute(s) and 43 second(s). The scene 19 starts at 1 minute(s) and 43 second(s) and ends at 1 minute(s) and 48 second(s). The scene 20 starts at 1 minute(s) and 48 second(s) and ends at 1 minute(s) and 58 second(s). The scene 21 starts at 1 minute(s) and 58 second(s) and ends at 2 minute(s) and 17 second(s). The scene 22 starts at 2 minute(s) and 17 second(s) and ends at 2 minute(s) and 20 second(s). The scene 23 starts at 2 minute(s) and 20 second(s) and ends at 2 minute(s) and 23 second(s). The scene 24 starts at 2 minute(s) and 23 second(s) and ends at 2 minute(s) and 25 second(s). The scene 25 starts at 2 minute(s) and 25 second(s) and ends at 2 minute(s) and 32 second(s). The scene 26 starts at 2 minute(s) and 32 second(s) and ends at 2 minute(s) and 41 second(s). The scene 27 starts at 2 minute(s) and 41 second(s) and ends at 2 minute(s) and 44 second(s).
v=mfENhAPlES8.mp4	The video consists of 3 scenes total. The scene 1 starts at 0 second(s) and ends at 10 second(s). The scene 2 starts at 10 second(s) and ends at 29 second(s). The scene 3 starts at 29 second(s) and ends at 31 second(s).
v=dxvKVBrNMDw.mp4	The video consists of 9 scenes total. The scene 1 starts at 0 second(s) and ends at 3 second(s). The scene 2 starts at 3 second(s) and ends at 6 second(s). The scene 3 starts at 6 second(s) and ends at 1 minute(s) and 7 second(s). The scene 4 starts at 1 minute(s) and 7 second(s) and ends at 1 minute(s) and 40 second(s). The scene 5 starts at 1 minute(s) and 40 second(s) and ends at 1 minute(s) and 44 second(s). The scene 6 starts at 1 minute(s) and 44 second(s) and ends at 1 minute(s) and 46 second(s). The scene 7 starts at 1 minute(s) and 46 second(s) and ends at 1 minute(s) and 47 second(s). The scene 8 starts at 1 minute(s) and 47 second(s) and ends at 1 minute(s) and 52 second(s). The scene 9 starts at 1 minute(s) and 52 second(s) and ends at 1 minute(s) and 57 second(s).
v=xPyj6pmYyEk.mp4	The video consists of 10 scenes total. The scene 1 starts at 0 second(s) and ends at 1 second(s). The scene 2 starts at 1 second(s) and ends at 8 second(s). The scene 3 starts at 8 second(s) and ends at 38 second(s). The scene 4 starts at 38 second(s) and ends at 1 minute(s) and 8 second(s). The scene 5 starts at 1 minute(s) and 8 second(s) and ends at 1 minute(s) and 40 second(s). The scene 6 starts at 1 minute(s) and 40 second(s) and ends at 1 minute(s) and 58 second(s). The scene 7 starts at 1 minute(s) and 58 second(s) and ends at 2 minute(s) and 3 second(s). The scene 8 starts at 2 minute(s) and 3 second(s) and ends at 2 minute(s) and 8 second(s). The scene 9 starts at 2 minute(s) and 8 second(s) and ends at 2 minute(s) and 12 second(s). The scene 10 starts at 2 minute(s) and 12 second(s) and ends at 3 minute(s) and 27 second(s).
